Crime Type,Date of Initial Criminal Activity,Date Charges Filed,Dollars Involved
Embezzlement,11/19/10 9:17,9/3/12 22:43,8004157
Securities Fraud,4/21/09 19:15,9/9/12 15:40,2248545
Insider Trading,2/3/12 8:42,7/4/17 9:55,7812508
Securities Fraud,1/23/12 13:00,9/21/15 10:25,1797543
Embezzlement,11/2/08 12:16,1/22/13 16:27,1490241
Ponzi Scheme,9/5/13 10:20,4/19/17 14:39,814147
Embezzlement,2/13/12 16:55,4/7/17 9:36,4982375
Ponzi Scheme,1/18/12 21:38,5/17/13 2:35,5640044
Securities Fraud,3/30/08 12:11,11/6/10 2:06,3167635
Insider Trading,3/21/10 12:47,9/27/12 17:47,8086781
Ponzi Scheme,6/22/12 20:10,1/14/15 13:41,6244107
Ponzi Scheme,12/4/09 12:47,2/17/11 8:22,7812288
Insider Trading,8/17/12 7:48,3/24/17 1:47,2928877
Insider Trading,3/11/10 10:46,10/4/11 5:56,8025558
Embezzlement,6/6/11 8:07,6/8/16 3:15,2273728
Embezzlement,3/2/11 19:29,11/6/12 23:24,9575797
Insider Trading,3/7/14 19:04,8/17/18 8:31,9549633
Embezzlement,12/28/09 23:38,10/14/13 16:43,1409270
Insider Trading,8/31/09 10:57,2/26/14 1:47,6926152
Securities Fraud,11/4/11 5:42,4/13/17 3:36,1915498
Embezzlement,1/1/09 21:28,7/24/12 6:36,4676567
Embezzlement,10/14/11 16:26,9/14/12 22:37,9857736
Ponzi Scheme,3/24/09 23:00,4/12/10 3:40,5331985
Insider Trading,4/6/12 13:38,1/17/17 21:05,8195804
Securities Fraud,3/14/11 11:06,7/20/12 5:31,1453463
Embezzlement,6/27/09 20:14,9/21/11 7:42,9336297
Securities Fraud,7/27/08 21:33,3/7/11 6:52,3172581
Embezzlement,3/25/14 5:13,2/4/16 22:17,4809601
Securities Fraud,1/8/08 20:02,8/15/08 5:56,3503107
Insider Trading,1/28/12 18:47,6/21/15 10:38,4914090
Ponzi Scheme,3/3/09 22:06,12/27/12 14:26,3272729
Ponzi Scheme,3/27/11 15:53,4/15/11 20:15,1368317
Ponzi Scheme,12/20/06 18:53,3/2/09 16:17,8235351
Embezzlement,1/28/09 13:53,6/10/12 16:08,5096192
Embezzlement,10/27/06 6:16,2/24/09 2:36,7027072
Insider Trading,7/1/10 21:34,3/9/15 17:42,4458762
Embezzlement,8/17/11 12:13,4/13/15 11:31,9498454
Embezzlement,5/29/12 12:01,8/15/16 10:57,5784270
Insider Trading,1/3/08 1:23,2/20/08 19:02,4433587
Securities Fraud,12/9/06 4:00,3/21/07 11:40,7734630
Insider Trading,2/19/12 16:25,2/19/17 9:51,4300470
Embezzlement,11/25/07 8:07,9/29/10 23:45,7371021
Ponzi Scheme,4/12/14 6:56,1/26/17 15:53,5091861
Insider Trading,7/5/14 19:19,7/8/19 15:52,9803688
Securities Fraud,12/7/09 1:30,12/2/10 15:18,9308499
Insider Trading,6/24/13 18:13,4/5/16 10:35,9518623
Securities Fraud,6/16/10 4:04,6/27/13 23:00,2996549
Embezzlement,3/23/08 3:55,10/14/10 22:41,4466724
Embezzlement,11/9/12 10:43,3/13/18 15:25,6782268
Ponzi Scheme,9/25/13 18:16,1/10/15 3:10,3194002
Insider Trading,2/17/11 0:05,9/5/15 0:38,1972503
Embezzlement,1/31/09 12:22,10/14/12 17:23,4603239
Ponzi Scheme,2/5/10 14:16,8/5/14 20:49,47887
Embezzlement,5/19/14 15:49,5/29/15 7:32,8088594
Embezzlement,8/27/14 14:59,9/22/18 9:14,9776020
Embezzlement,11/5/12 15:49,4/25/18 12:35,1748575
Ponzi Scheme,6/1/13 19:28,3/24/15 1:50,7678646
Embezzlement,10/6/10 4:59,2/26/13 12:19,532179
Ponzi Scheme,1/17/09 3:32,9/22/13 18:42,5195588
Insider Trading,8/15/09 2:32,7/9/13 18:45,6901012
Embezzlement,10/14/13 20:13,3/17/14 5:11,4239263
Securities Fraud,1/11/14 23:13,5/21/19 7:18,6448774
Securities Fraud,3/1/09 21:03,11/14/11 2:45,9573027
Securities Fraud,6/8/10 12:06,3/27/12 5:17,5980984
Ponzi Scheme,7/14/10 8:43,7/6/12 3:42,6871221
Securities Fraud,3/6/09 11:06,8/19/09 12:53,458163
Embezzlement,11/11/12 22:49,5/11/13 10:34,4112219
Embezzlement,11/19/09 4:41,10/20/10 20:57,9470974
Insider Trading,10/26/13 18:32,9/23/16 20:09,1258231
Embezzlement,1/18/13 23:39,11/8/15 20:37,4106745
Insider Trading,11/22/06 0:24,11/4/08 15:52,570762
Ponzi Scheme,8/2/08 4:10,7/21/13 1:50,7502327
Ponzi Scheme,1/8/09 7:37,10/19/12 12:47,2759921
Embezzlement,6/21/10 3:30,4/15/12 18:50,692046
Insider Trading,1/28/11 22:21,10/17/13 8:35,5523046
Securities Fraud,10/23/10 14:00,7/10/11 14:34,3702298
Securities Fraud,8/21/09 18:03,3/21/14 14:36,4137870
Securities Fraud,5/4/09 8:32,6/16/14 22:14,5145466
Ponzi Scheme,4/28/07 13:37,4/19/11 20:42,4564884
Ponzi Scheme,11/26/14 16:24,12/12/18 3:30,9530225
Insider Trading,2/14/11 21:42,11/7/15 21:02,7570277
Securities Fraud,2/5/14 20:45,2/13/18 18:23,989110
Insider Trading,11/23/06 22:49,3/7/11 3:40,7706482
Ponzi Scheme,11/6/11 23:32,12/11/11 0:22,1506522
Insider Trading,3/14/13 4:07,9/8/14 8:27,9452246
Embezzlement,9/4/11 19:43,10/16/15 9:34,2545620
Securities Fraud,4/14/10 4:25,7/8/13 20:50,1331977
Insider Trading,11/16/08 17:43,5/31/10 21:22,9696694
Insider Trading,1/29/14 11:30,10/28/16 1:47,1048673
Ponzi Scheme,8/21/11 0:03,5/8/15 18:36,4331760
Ponzi Scheme,2/14/11 6:08,10/26/12 13:24,3593062
Securities Fraud,6/20/10 8:57,5/2/11 6:01,7382283
Ponzi Scheme,5/6/14 13:52,1/20/19 1:11,329239
Embezzlement,4/4/07 0:12,8/22/09 11:51,9097534
Embezzlement,6/7/12 9:58,1/31/16 1:33,6130371
Ponzi Scheme,6/26/12 15:34,2/19/13 22:15,8112760
Insider Trading,7/21/08 13:29,11/10/10 17:30,552917
Ponzi Scheme,11/11/13 2:20,4/22/15 19:49,3757939
Embezzlement,12/10/10 23:39,5/24/16 4:44,1708902
Securities Fraud,10/2/09 4:32,10/8/12 10:59,5181442
Insider Trading,8/4/13 9:57,11/19/16 17:08,823815
Securities Fraud,10/7/14 11:07,12/17/19 16:44,1669283
Ponzi Scheme,9/6/13 14:49,8/19/18 9:06,8097887
Insider Trading,8/22/10 4:27,4/7/12 10:08,7480146
Ponzi Scheme,8/28/10 5:55,2/5/14 6:40,6528503
Securities Fraud,1/8/07 1:51,11/2/09 12:14,870521
Securities Fraud,8/12/12 3:44,12/30/14 4:08,3475259
Insider Trading,10/8/12 7:44,8/12/17 22:14,3220194
Securities Fraud,11/18/06 4:42,11/20/09 0:38,5658472
Embezzlement,9/7/13 18:42,3/28/16 5:49,1770962
Embezzlement,5/12/14 4:54,3/12/17 3:04,2797635
Securities Fraud,10/25/10 16:58,4/27/15 15:36,8534375
Securities Fraud,12/31/12 7:17,1/12/13 2:33,7547780
Ponzi Scheme,8/31/08 12:19,3/21/12 10:21,7898172
Embezzlement,12/19/08 13:05,1/7/14 10:29,1036041
Ponzi Scheme,6/30/08 2:57,6/18/10 3:40,2914023
Ponzi Scheme,12/2/10 17:53,12/5/13 17:03,7221136
Ponzi Scheme,3/4/12 17:04,9/23/14 19:42,5856282
Ponzi Scheme,1/10/10 2:18,3/15/12 0:49,3761376
Embezzlement,7/19/08 19:26,5/17/10 5:32,5692617
Securities Fraud,8/11/10 12:23,11/3/11 16:52,7671927
Ponzi Scheme,7/2/13 22:49,5/26/15 10:26,9936445
Securities Fraud,4/8/09 17:21,6/22/13 6:50,1517163
Ponzi Scheme,5/8/08 6:46,4/9/13 10:01,7833262
Embezzlement,9/19/07 15:51,6/9/10 18:34,1792996
Insider Trading,5/3/11 19:00,2/17/14 5:12,1536275
Securities Fraud,8/29/11 17:07,7/17/12 16:58,9034105
Ponzi Scheme,7/8/14 5:19,12/13/19 12:54,7150951
Embezzlement,4/4/13 3:31,12/20/15 15:12,9115215
Ponzi Scheme,7/20/14 14:49,3/4/17 3:16,3376510
Securities Fraud,4/13/07 20:11,4/3/08 14:42,3453372
Ponzi Scheme,10/17/07 8:44,3/18/09 12:34,4509626
Embezzlement,9/29/08 20:59,12/25/08 20:25,4029646
Embezzlement,5/7/09 5:42,1/13/13 13:30,178341
Ponzi Scheme,8/17/14 11:59,7/25/19 18:33,4024839
Embezzlement,11/5/11 7:29,1/18/12 5:25,303200
Ponzi Scheme,6/13/07 20:23,5/4/09 5:34,5480609
Securities Fraud,3/4/13 11:50,4/8/17 21:59,7011600
Securities Fraud,6/11/14 6:20,8/25/16 10:38,8623673
Insider Trading,8/16/10 21:59,1/1/11 3:34,312122
Embezzlement,11/5/13 4:16,4/28/17 20:42,8651955
Embezzlement,1/25/10 23:18,1/5/13 22:25,1242285
Insider Trading,1/29/09 23:51,8/12/09 9:18,4745007
Embezzlement,9/23/13 14:03,8/18/17 23:21,1043887
Ponzi Scheme,6/25/08 15:22,1/5/13 15:57,5421525
Securities Fraud,4/27/11 9:20,1/25/15 22:41,8085140
Securities Fraud,4/16/09 15:00,8/28/14 14:12,6020717
Embezzlement,6/10/13 22:49,2/7/17 16:52,2363124
Ponzi Scheme,5/20/14 14:47,5/31/14 18:42,1953743
Embezzlement,7/6/07 7:29,11/25/09 23:31,1670798
Embezzlement,6/12/14 10:10,12/18/18 1:35,4093638
Ponzi Scheme,2/15/07 21:38,7/18/09 13:19,2594440
Ponzi Scheme,7/7/10 11:25,5/27/15 8:53,8959663
Securities Fraud,8/22/07 1:09,6/19/08 1:58,3752878
Embezzlement,8/6/07 2:46,11/18/12 18:03,1362245
Embezzlement,7/6/14 6:41,3/3/17 18:51,7444226
Embezzlement,5/14/13 8:18,12/22/17 23:16,8539260
Insider Trading,3/3/12 17:58,8/31/12 19:40,9881596
Securities Fraud,12/19/12 13:40,3/11/15 5:26,7041326
Ponzi Scheme,7/14/12 20:48,3/27/14 15:23,1756247
Insider Trading,3/28/10 0:05,10/2/10 1:49,1471623
Embezzlement,1/9/13 2:14,7/3/17 16:21,5207892
Insider Trading,5/21/11 14:43,10/24/11 22:32,5117151
Insider Trading,8/28/08 7:51,3/16/09 11:10,5332321
Insider Trading,12/31/13 13:46,3/16/14 10:32,5514427
Securities Fraud,8/12/13 20:17,10/2/16 20:56,5772796
Embezzlement,4/5/08 15:06,11/23/11 6:33,3886937
Embezzlement,5/3/14 21:25,2/8/18 6:47,6490904
Insider Trading,12/30/11 12:53,4/16/15 12:42,2910260
Securities Fraud,4/24/13 8:00,8/3/14 1:27,9614047
Ponzi Scheme,11/27/07 21:52,1/10/13 0:30,179002
Insider Trading,12/27/12 18:19,1/2/15 13:48,6267338
Securities Fraud,7/23/14 23:11,1/18/17 9:38,8268657
Ponzi Scheme,9/26/14 4:37,6/10/17 2:11,528064
Securities Fraud,1/6/14 5:16,7/4/17 12:13,9647937
Securities Fraud,2/28/07 21:19,7/16/09 22:44,4496319
Embezzlement,8/2/09 23:22,8/14/14 6:51,2168975
Securities Fraud,8/10/14 8:48,4/27/17 10:13,8133524
Ponzi Scheme,5/11/08 19:04,8/20/10 11:52,1984410
Securities Fraud,2/24/08 6:54,1/12/13 6:57,7205179
Securities Fraud,12/20/12 6:54,1/15/18 15:23,9686798
Insider Trading,5/18/09 16:04,1/14/14 23:35,2643745
Securities Fraud,1/14/09 0:13,7/11/10 6:07,9241242
Insider Trading,6/4/09 4:37,3/6/10 4:55,8239116
Insider Trading,1/27/14 2:23,2/1/18 22:37,8589463
Insider Trading,1/28/13 2:31,4/9/14 14:33,6797555
Securities Fraud,3/29/10 15:51,7/9/11 23:11,9669959
Ponzi Scheme,4/13/11 0:54,9/11/16 22:03,931436
Securities Fraud,5/1/07 18:48,9/29/07 2:49,7569408
Securities Fraud,1/18/11 1:08,4/8/16 13:56,6863768
Securities Fraud,11/6/11 17:15,11/15/16 11:31,9482345
Securities Fraud,12/25/06 5:06,12/29/09 17:35,5294434
Embezzlement,3/22/13 13:41,9/27/16 11:55,9855677
Securities Fraud,4/4/09 10:52,9/10/10 17:58,8265721
Insider Trading,2/11/09 3:54,12/31/13 1:01,6830664
Ponzi Scheme,11/23/08 11:10,5/28/10 15:25,9868771
Embezzlement,4/7/13 3:41,1/12/18 4:59,5508149
Ponzi Scheme,2/12/13 22:20,9/3/16 20:18,7981154
Embezzlement,8/8/07 3:05,11/22/08 18:20,5521522
Embezzlement,1/4/14 4:29,7/25/16 16:18,7449996
Embezzlement,3/22/10 11:44,4/11/14 9:15,6362142
Ponzi Scheme,3/19/10 7:33,12/24/12 8:07,4884108
Embezzlement,9/17/11 7:42,7/18/12 20:13,6335804
Securities Fraud,2/1/09 5:19,8/30/09 7:00,8525461
Insider Trading,5/19/08 7:45,5/9/13 19:23,271908
Securities Fraud,9/6/12 9:24,10/17/13 6:06,5427157
Embezzlement,8/18/14 21:30,12/10/16 17:29,5214359
Embezzlement,3/30/12 10:40,11/6/13 10:42,6091192
Embezzlement,5/12/10 5:19,2/8/15 3:59,4179734
Ponzi Scheme,6/19/13 15:16,8/24/16 16:06,4843708
Securities Fraud,4/28/14 17:17,4/27/17 21:19,59427
Securities Fraud,12/27/13 3:49,5/1/16 10:24,9056922
Ponzi Scheme,11/12/09 15:24,7/16/12 15:39,6442877
Securities Fraud,6/4/12 4:14,10/26/14 2:40,2481152
Ponzi Scheme,12/29/11 17:53,2/3/12 3:15,1380925
Ponzi Scheme,3/9/11 19:19,1/12/13 14:12,1647971
Insider Trading,12/19/08 10:56,6/21/09 5:12,4507419
Ponzi Scheme,6/18/09 4:51,7/23/10 12:33,7571604
Ponzi Scheme,3/4/07 20:24,8/10/12 18:41,8582492
Securities Fraud,6/30/13 22:11,10/31/14 11:33,1986660
Embezzlement,5/14/07 17:10,4/7/09 5:06,8042227
Insider Trading,8/14/08 12:38,9/2/09 11:03,6938043
Securities Fraud,9/22/09 6:26,7/6/13 13:42,8109553
Embezzlement,2/27/07 11:51,10/20/10 4:06,2046095
Securities Fraud,7/1/08 4:31,10/2/13 13:04,3385105
Securities Fraud,1/23/08 0:26,4/27/12 20:30,7942526
Insider Trading,7/12/08 12:16,12/21/11 1:10,8116993
Ponzi Scheme,7/15/09 13:30,8/10/09 7:28,9149378
Embezzlement,5/5/12 5:23,8/15/15 14:42,3031291
Ponzi Scheme,12/31/06 3:19,12/21/11 20:59,1128416
Embezzlement,4/8/07 5:13,1/12/12 5:59,1391533
Insider Trading,8/5/09 2:58,9/8/14 9:23,9990936
Ponzi Scheme,2/3/11 17:54,3/23/12 2:49,8289589
Securities Fraud,1/21/14 13:33,10/22/18 11:01,718188
Insider Trading,9/12/13 22:50,1/6/16 15:25,7348774
Insider Trading,3/7/08 22:29,3/3/11 18:07,101281
Securities Fraud,11/29/13 20:53,4/27/18 19:26,5932169
Insider Trading,3/9/09 18:21,8/8/10 9:58,5346831
Embezzlement,4/10/11 6:47,2/8/14 6:53,3856422
Ponzi Scheme,11/21/12 21:01,6/30/16 17:14,7596874
Securities Fraud,7/9/11 13:12,12/11/11 19:33,4365626
Embezzlement,12/13/11 16:00,6/16/12 7:00,8800347
Ponzi Scheme,9/5/07 19:55,7/5/10 13:01,9819536
Insider Trading,7/2/08 20:11,7/7/13 16:28,2858019
Ponzi Scheme,2/16/12 1:02,8/5/13 20:55,3968796
Insider Trading,8/30/07 3:25,11/26/12 3:00,8420926
Ponzi Scheme,9/22/12 19:18,10/21/12 21:00,6357226
Securities Fraud,9/30/08 21:49,10/1/08 8:33,3847813
Securities Fraud,4/19/07 3:15,8/14/12 18:56,4211471
Embezzlement,6/17/09 12:16,7/30/11 11:15,1834070
Securities Fraud,1/28/07 21:24,4/12/12 13:45,5672635
Embezzlement,7/2/13 12:07,10/31/18 17:18,613534
Ponzi Scheme,4/24/08 11:12,8/4/08 14:48,248491
Embezzlement,11/8/14 0:29,4/14/15 5:31,8807535
Embezzlement,11/28/11 22:51,7/26/14 18:21,4661804
Ponzi Scheme,1/29/12 14:05,9/22/12 18:13,3979999
Ponzi Scheme,8/31/08 11:28,12/9/09 2:31,8335449
Embezzlement,3/28/13 0:37,6/7/16 10:23,1165719
Embezzlement,5/3/08 15:05,3/7/12 11:21,9266944
Insider Trading,11/14/13 7:38,1/2/18 11:50,5225926
Embezzlement,4/7/13 4:05,3/23/14 4:37,3939181
Ponzi Scheme,7/1/08 20:07,5/17/12 7:21,1378063
Insider Trading,4/24/13 8:50,8/7/16 11:33,9262480
Securities Fraud,4/8/12 21:12,5/29/13 2:26,8547793
Securities Fraud,1/17/14 14:31,8/29/18 3:40,293459
Ponzi Scheme,10/28/09 6:07,9/20/10 6:33,9913624
Securities Fraud,11/8/06 10:58,12/4/10 1:31,2062088
Ponzi Scheme,2/13/07 8:50,12/17/11 16:38,7697687
Insider Trading,1/31/13 13:47,7/24/15 5:55,1241055
Securities Fraud,1/13/07 12:48,1/30/10 0:31,2205502
Embezzlement,11/14/14 8:59,12/27/14 20:57,6417743
Insider Trading,11/24/08 18:34,12/18/11 0:26,6028943
Insider Trading,9/16/10 0:19,1/2/13 10:36,4412104
Ponzi Scheme,6/30/07 15:17,11/17/10 12:39,4338993
Ponzi Scheme,8/8/10 19:35,4/23/13 14:23,8996959
Ponzi Scheme,11/21/10 14:56,10/19/14 13:13,5744407
Insider Trading,4/6/11 19:25,9/4/14 22:26,9199636
Securities Fraud,3/1/10 14:18,7/28/15 18:56,7177837
Embezzlement,4/4/10 19:45,12/5/12 18:10,9328147
Insider Trading,7/10/14 19:28,9/5/17 2:05,6531820
Securities Fraud,3/2/13 1:04,6/11/15 21:18,3233503
Embezzlement,4/12/07 19:28,2/19/08 21:05,4548738
Embezzlement,12/10/14 0:16,7/24/19 9:36,55722
Securities Fraud,2/4/12 15:41,4/5/17 13:08,397400
Insider Trading,2/24/09 3:29,10/6/09 4:39,9494006
Embezzlement,12/1/07 13:01,8/10/09 14:28,3323944
Insider Trading,10/31/09 17:50,1/21/14 14:35,2154439
Embezzlement,1/2/07 15:25,3/29/08 23:54,4320223
Ponzi Scheme,6/5/14 15:01,1/11/17 18:40,5681181
Insider Trading,1/20/07 18:22,3/12/12 2:49,8625707
Insider Trading,10/10/10 18:02,11/16/11 12:48,606162
Embezzlement,6/22/12 9:58,12/14/12 19:57,9266020
Insider Trading,12/12/10 19:35,2/27/16 19:28,7840512
Ponzi Scheme,2/17/12 14:15,3/29/16 7:37,9868623
Embezzlement,6/7/12 7:40,8/21/13 10:17,4175464
Insider Trading,1/10/14 18:09,4/8/15 2:57,8998337
Embezzlement,8/11/07 21:41,5/3/12 23:38,8645152
Insider Trading,1/22/10 11:53,4/26/11 14:31,4427025
Insider Trading,5/6/08 6:04,4/6/09 13:55,8495890
Securities Fraud,6/17/11 12:56,10/20/14 20:19,3412064
Embezzlement,4/16/10 23:12,9/10/10 17:30,9668994
Securities Fraud,1/14/09 6:01,12/11/13 13:45,185860
Embezzlement,9/9/08 2:58,8/8/12 21:48,5939281
Securities Fraud,3/30/09 16:35,2/10/13 23:46,6069553
Embezzlement,3/1/13 9:10,2/18/18 10:24,6246651
Securities Fraud,1/27/09 21:58,6/6/13 1:09,581889
Ponzi Scheme,6/14/13 14:05,10/26/16 18:21,3419982
Embezzlement,9/5/11 12:40,4/28/12 7:44,9792995
Ponzi Scheme,2/9/12 20:10,5/14/14 6:30,6815325
Embezzlement,10/8/09 9:16,3/4/11 19:52,403008
Ponzi Scheme,1/24/11 18:32,2/4/13 9:25,7229384
Securities Fraud,10/21/11 18:36,5/30/15 13:48,6225924
Securities Fraud,6/16/13 4:40,7/16/17 15:05,8084014
Insider Trading,5/17/13 14:11,7/7/16 10:21,7260615
Ponzi Scheme,10/9/08 0:49,8/9/09 10:47,6657490
Insider Trading,9/17/09 23:06,9/20/13 1:22,4181058
Ponzi Scheme,3/1/10 19:09,4/14/11 13:32,5742650
Embezzlement,7/6/08 22:58,5/16/11 9:46,3662423
Securities Fraud,9/23/09 5:26,4/10/14 21:33,1098274
Securities Fraud,11/13/06 6:16,3/14/08 8:52,7857758
Ponzi Scheme,10/10/08 7:20,3/28/11 15:56,4419538
Insider Trading,2/10/08 4:29,5/6/12 16:31,9476905
Embezzlement,4/3/08 4:09,4/2/12 20:07,9794562
Securities Fraud,8/15/09 1:22,4/28/13 19:42,8521970
Embezzlement,10/5/08 20:29,1/20/11 4:46,9349101
Securities Fraud,7/27/10 17:01,7/29/11 21:52,7240181
Embezzlement,8/19/14 9:14,5/27/17 22:56,9952959
Insider Trading,11/24/11 17:22,1/1/15 22:21,5630465
Insider Trading,4/15/13 21:17,8/30/17 13:28,6064992
Ponzi Scheme,1/19/08 2:09,5/6/08 16:41,3542348
Ponzi Scheme,12/20/06 18:24,8/12/10 0:07,3706851
Embezzlement,7/17/10 1:17,12/22/12 11:34,7651669
Insider Trading,9/26/10 2:15,7/19/14 6:16,2598858
Embezzlement,7/18/13 22:12,7/29/14 16:45,1935525
Embezzlement,7/27/10 15:17,12/18/11 23:42,2460792
Ponzi Scheme,3/4/12 18:15,1/16/14 10:17,7293495
Ponzi Scheme,10/23/09 3:43,11/20/10 6:39,1564225
Securities Fraud,1/18/07 3:48,2/17/09 13:00,4772131
Securities Fraud,7/16/11 22:50,2/25/15 16:45,8858098
Embezzlement,11/16/12 8:42,4/23/17 12:50,7541155
Ponzi Scheme,7/20/11 11:41,10/7/11 12:34,6134049
Embezzlement,5/5/07 4:15,6/14/12 20:43,2856372
Securities Fraud,4/17/10 1:22,5/8/13 10:13,2995754
Embezzlement,3/5/14 1:50,7/25/17 23:10,9566847
Insider Trading,7/28/10 11:41,11/6/12 3:19,4830050
Insider Trading,12/14/14 6:29,6/1/16 9:46,5882206
Securities Fraud,7/13/10 4:25,8/18/13 3:19,2142019
Ponzi Scheme,3/10/09 21:25,10/1/13 11:32,2601745
Ponzi Scheme,3/27/12 6:56,2/4/17 7:49,3859788
Insider Trading,6/2/13 8:05,5/24/17 5:54,3951144
Embezzlement,4/1/13 16:24,5/24/16 0:47,2676378
Embezzlement,6/26/12 16:36,2/17/15 4:50,5966102
Embezzlement,5/12/12 11:41,10/17/16 3:30,2973976
Embezzlement,1/31/10 4:07,3/14/15 3:22,3929565
Embezzlement,9/2/10 15:44,2/8/11 0:16,4769428
Insider Trading,3/15/12 18:03,9/3/13 14:49,233090
Securities Fraud,11/16/09 6:24,9/14/13 1:37,6152962
Ponzi Scheme,8/23/10 20:33,5/28/11 21:03,6128976
Insider Trading,2/24/10 3:36,2/18/13 9:56,1659136
Ponzi Scheme,8/25/08 2:34,3/6/10 19:37,2634619
Embezzlement,6/29/09 7:52,3/25/14 17:54,2237141
Insider Trading,5/26/13 1:04,6/15/17 10:48,7852739
Ponzi Scheme,7/23/13 9:23,12/2/16 14:52,4502572
Ponzi Scheme,6/12/07 20:29,2/26/08 16:55,5295944
Ponzi Scheme,3/6/08 6:25,2/16/10 12:40,1104127
Embezzlement,8/6/11 10:28,12/2/13 14:08,345676
Insider Trading,6/7/14 22:51,1/12/15 23:25,2612158
Insider Trading,5/30/11 8:37,2/1/15 1:25,6249290
Securities Fraud,10/14/14 1:11,4/10/15 11:17,6044174
Ponzi Scheme,1/13/14 5:31,8/1/18 6:57,4180232
Securities Fraud,3/13/13 12:05,10/18/17 22:00,4957014
Ponzi Scheme,12/4/11 6:38,11/12/16 19:38,6628947
Insider Trading,5/20/13 13:19,10/20/13 11:43,5082934
Ponzi Scheme,6/16/11 18:56,2/13/16 22:56,8657624
Securities Fraud,7/17/10 11:52,6/30/15 10:40,9001304
Embezzlement,5/4/07 17:48,2/14/12 11:28,42868
Ponzi Scheme,12/7/12 12:10,7/16/13 12:44,8763895
Ponzi Scheme,7/3/09 19:21,8/18/13 21:26,1808008
Embezzlement,1/19/08 18:44,8/4/09 20:17,2071699
Insider Trading,11/12/14 17:36,9/29/16 19:38,3035018
Embezzlement,3/5/11 3:00,12/29/14 13:48,2806569
Embezzlement,5/27/13 6:55,10/15/14 7:30,5114354
Ponzi Scheme,1/15/12 3:50,2/11/14 17:34,835988
Insider Trading,6/1/07 10:13,10/26/07 2:03,5800013
Securities Fraud,5/20/14 23:20,2/8/16 5:30,6486935
Insider Trading,12/31/08 15:33,4/27/10 16:55,9186217
Embezzlement,6/30/08 1:51,1/6/12 22:13,8884026
Embezzlement,3/25/11 23:09,9/22/13 13:16,1628120
Insider Trading,6/7/10 17:27,10/21/12 2:52,8693695
Embezzlement,7/1/11 21:16,7/27/13 23:33,5722432
Securities Fraud,7/9/13 12:47,1/26/15 0:58,1942819
Embezzlement,10/3/11 19:28,1/5/14 14:46,7858755
Insider Trading,3/31/14 12:18,11/6/18 0:43,9966492
Ponzi Scheme,1/28/09 17:08,9/30/10 0:41,3448022
Embezzlement,8/4/09 21:34,1/25/15 1:06,5753031
Ponzi Scheme,8/21/12 16:36,3/6/15 15:04,5179257
Embezzlement,1/30/07 21:50,5/18/07 1:54,2944843
Securities Fraud,11/28/10 4:54,6/10/14 11:09,8771814
Ponzi Scheme,2/25/12 1:26,12/27/12 23:49,6335495
Ponzi Scheme,7/24/07 18:31,5/20/10 7:11,5164528
Embezzlement,6/21/07 12:26,2/17/10 15:07,5441699
Ponzi Scheme,7/14/09 6:14,3/19/14 5:01,2717767
Embezzlement,3/3/10 22:37,10/26/13 7:17,9030216
Insider Trading,7/1/14 18:39,9/24/17 9:12,6688324
Securities Fraud,7/4/09 7:03,6/29/10 8:15,474748
Embezzlement,10/19/10 9:04,9/12/13 20:22,927164
Securities Fraud,6/10/10 18:01,4/12/13 16:54,3947963
Securities Fraud,12/18/14 10:45,9/20/19 20:29,8401310
Ponzi Scheme,2/17/10 17:21,11/16/10 2:14,8287622
Ponzi Scheme,2/17/07 21:06,4/7/07 7:21,6909042
Embezzlement,11/7/13 18:29,9/5/14 4:28,1850429
Ponzi Scheme,6/5/14 16:46,3/26/17 12:20,3778712
Ponzi Scheme,1/9/13 18:31,8/11/15 18:31,2332060
Embezzlement,9/8/13 0:33,12/9/18 0:44,5205917
Ponzi Scheme,7/16/10 19:58,11/24/14 3:55,1547912
Embezzlement,5/20/12 12:30,4/14/14 20:11,1012638
Embezzlement,2/4/08 10:16,12/10/08 6:47,3961035
Embezzlement,4/26/07 21:36,12/10/08 17:24,4140135
Embezzlement,7/23/09 4:18,4/4/14 10:04,9677377
Securities Fraud,7/7/08 2:10,1/31/13 4:45,8964226
Insider Trading,4/18/09 16:37,6/2/09 14:17,267172
Ponzi Scheme,2/24/08 12:24,5/15/13 10:22,3547218
Ponzi Scheme,2/9/13 22:03,1/27/18 4:59,6664545
Insider Trading,9/20/08 8:01,8/4/13 16:22,3362040
Insider Trading,8/6/12 20:12,5/23/15 18:55,9993175
Insider Trading,7/8/07 4:18,3/18/08 13:16,8484664
Securities Fraud,10/11/06 8:30,3/22/10 17:06,6358709
Insider Trading,4/4/13 17:12,11/6/13 4:56,7072974
Securities Fraud,4/2/12 14:02,9/27/15 10:03,955701
Ponzi Scheme,4/25/09 0:17,11/9/13 1:58,2573625
Insider Trading,5/3/11 1:40,3/6/16 5:32,7214856
Embezzlement,9/21/07 6:04,12/8/11 4:57,2325353
Ponzi Scheme,6/20/11 2:06,8/1/13 12:34,7571937
Insider Trading,4/5/07 2:44,5/1/08 19:46,4829452
Insider Trading,1/19/10 5:10,5/11/14 6:23,4882281
Embezzlement,3/13/08 19:07,2/28/09 8:51,6600966
Ponzi Scheme,8/30/12 15:15,11/27/12 2:10,1033968
